No,Lokasi,Kecamatan,Tipe Hunian,Kondisi,Luas Tanah,Luas Bangunan,Kepemilikan,Lebar Jalan,Jumlah Lantai,Jumlah KT,Jumlah KM,Garasi,Daya Listrik,Rooftop,Sumber Air,Tipe Furnish,Harga
112,YOGYAKARTA,BANTUL,LANDED HOUSE,BARU,150,123,SHM,6,2,4,2,ADA,2200,TIDAK,SUMUR BOR,SEMI FURNISHED,1350000000
113,YOGYAKARTA,KOTA GEDE,LANDED HOUSE,BARU,162,130,SHM,4,1,3,2,ADA,1300,TIDAK,SUMUR BOR,SEMI FURNISHED,1350000000
114,YOGYAKARTA,MERGANGSAN,LANDED HOUSE,BARU,215,200,SHM,4,3,9,5,ADA,2200,ADA,SUMUR BOR,SEMI FURNISHED,3000000000
115,DENPASAR,RENON,LANDED HOUSE,BARU,118,152,SHM,3,2,3,3,ADA,5500,TIDAK,PAM,SEMI FURNISHED,3200000000
116,MALANG,BLIMBING,LANDED HOUSE,BEKAS,180,150,SHM,6,1,3,1,ADA,2200,TIDAK,PAM,FULL FURNISHED,1980000000
117,DENPASAR,UBUNG KAJA,LANDED HOUSE,BEKAS,155,155,SHM,6,2,4,3,ADA,4400,TIDAK,SUMUR BOR,NON FURNISHED,1800000000
118,MALANG ,RAMPAL CEKALET,LANDED HOUSE,BEKAS,423,250,SHM,5,1,6,3,ADA,1300,TIDAK,PDAM,NON FURNISHED,3500000000
119,DENPASAR,PANJER,LANDED HOUSE,BARU,638,400,SHM,6,2,5,5,ADA,7700,TIDAK,SUMUR BOR,FULL FURNISHED,12000000000
120,JAKARTA SELATAN,TB SIMATUPANG,APARTEMENTT,BARU,236,108,SHM,4,1,2,2,TIDAK,4400,TIDAK,PDAM,FULL FURNISHED,204000000
121,KOTA BANDUNG,SUKASARI,LANDED HOUSE,BARU,155,212,SHGB,2,3,5,4,ADA,2200,ADA,PDAM,NON FURNISHED,2800000000
122,KOTA BANDUNG,SUKASARI,LANDED HOUSE,BARU,150,200,SHGB,2,3,5,4,ADA,4400,ADA,PDAM,FURNISHED,2880000000
123,KOTA BANDUNG,SARIWANGI,LANDED HOUSE,BARU,100,75,SHM,2,1,3,1,TIDAK,1300,TIDAK,PAM TANDOM TANAM,NON FURNISHED,975000000
124,KOTA BANDUNG,SUKASARI,LANDED HOUSE,BARU,118,150,SHM,2,2,3,3,ADA,2200,ADA,PDAM,NON FURNISHED,2200000000
125,KOTA BANDUNG,PARONGPONG,LANDED HOUSE,BARU,90,70,SHGB,2,2,3,2,TIDAK,1300,ADA,PDAM,NON FURNISHED,799000000
126,KOTA BANDUNG,SETIABUDI,LANDED HOUSE,BARU,90,140,SHM,4,3,4,2,ADA,2200,ADA,PDAM,NON FURNISHED,950000000
127,KOTA BANDUNG,DAGO,LANDED HOUSE,BARU,647,500,SHM,3,3,5,4,ADA,5500,ADA,PDAM,FURNISHED,9900000000
128,KOTA BANDUNG,CIWARUGA,LANDED HOUSE,BARU,360,276,SHM,2,3,3,3,ADA,5500,ADA,PDAM,NON FURNISHED,4500000000
129,KOTA BANDUNG,SUKASARI,LANDED HOUSE,BARU,186,250,SHM,2,3,3,2,ADA,2200,ADA,PDAM,NON FURNISHED,2600000000
130,KOTA BANDUNG,PASTEUR,LANDED HOUSE,BARU,239,300,SHM,3,2,5,4,ADA,3500,TIDAK,PDAM,NON FURNISHED,3250000000
131,KOTA BANDUNG,SUKASARI,LANDED HOUSE,BEKAS,680,250,SHM,2,2,5,4,ADA,4400,ADA,PAM,FURNISHED,6500000000
132,KOTA BANDUNG,SETIABUDI,LANDED HOUSE,BARU,450,200,SHM,5,3,5,5,ADA,2200,ADA,PDAM,FURNISHED,6800000000
133,KOTA BANDUNG,DJUANDA,LANDED HOUSE,BEKAS,728,250,SHM,5,2,7,4,ADA,4400,ADA,PDAM,FURNISHED,6000000000
134,KOTA BANDUNG,SETIABUDI,LANDED HOUSE,BARU,66,65,SHM,5,1,2,2,TIDAK,2200,TIDAK,PDAM,FURNISHED,997000000
135,KOTA BANDUNG,ARCAMANIK,LANDED HOUSE,BARU,61,37,SHM,4,1,2,1,TIDAK,1300,TIDAK,PDAM,NON FURNISHED,460000000
136,KOTA BANDUNG,UJUNG BERUNG,LANDED HOUSE,BARU,65,40,SHM,3,1,3,1,TIDAK,1300,TIDAK,PDAM,NON FURNISHED,420000000
137,KOTA BANDUNG,UJUNG BERUNG,LANDED HOUSE,BEKAS,75,57,SHM,3,2,2,2,TIDAK,1300,ADA,PDAM,FURNISHED,590000000
138,KOTA BANDUNG,CILEUNYI,LANDED HOUSE,BARU,82,55,SHM,4,1,2,2,TIDAK,2200,TIDAK,PDAM,NON FURNISHED,677000000
139,KOTA BANDUNG,SOREANG,LANDED HOUSE,BARU,84,36,SHM,3,1,2,1,TIDAK,1300,TIDAK,JET PUMP,NON FURNISHED,366000000
140,KOTA BANDUNG,UJUNG BERUNG,LANDED HOUSE,BARU,72,42,SHM,3,1,2,1,TIDAK,1300,TIDAK,PDAM,NON FURNISHED,460000000
141,KOTA BANDUNG,UJUNG BERUNG,LANDED HOUSE,BEKAS,60,35,SHM,3,1,1,1,TIDAK,1300,TIDAK,PDAM,NON FURNISHED,310000000
142,KOTA BANDUNG,UJUNG BERUNG,LANDED HOUSE,BARU,72,50,SHM,3,1,3,1,TIDAK,1300,TIDAK,JET PUMP,NON FURNISHED,550000000
143,KOTA BANDUNG,UJUNG BERUNG,LANDED HOUSE,BEKAS,60,120,SHM,3,2,4,1,TIDAK,900,ADA,PDAM,NON FURNISHED,400000000
144,KOTA BANDUNG,UJUNG BERUNG,LANDED HOUSE,BARU,70,45,SHM,2,1,2,1,TIDAK,1300,TIDAK,PDAM,NON FURNISHED,540000000
145,KOTA BANDUNG,UJUNG BERUNG,LANDED HOUSE,BARU,66,80,SHM,3,2,2,2,ADA,1300,ADA,PDAM,NON FURNISHED,550000000
146,KOTA BANDUNG,CIBADUYUT,LANDED HOUSE,BARU,120,80,SHM,4,2,2,2,TIDAK,1300,ADA,PDAM,NON FURNISHED,450000000
147,KOTA BANDUNG,BOJONG SOANG,LANDED HOUSE,BARU,83,45,SHM,4,2,2,2,TIDAK,1300,ADA,PDAM,NON FURNISHED,462000000
148,KOTA BANDUNG,BUAH BATU,LANDED HOUSE,BARU,70,45,SHM,4,1,2,2,TIDAK,1300,TIDAK,PDAM,NON FURNISHED,300000000
149,KOTA BANDUNG,SETIABUDI,LANDED HOUSE,BARU,200,300,SHM,5,3,3,3,ADA,1300,ADA,PDAM,NON FURNISHED,4000000000
150,KOTA BANDUNG,BUAH BATU,LANDED HOUSE,BARU,84,60,SHM,4,1,3,2,ADA,1300,TIDAK,PDAM,NON FURNISHED,333000000
151,KOTA BANDUNG,UJUNG BERUNG,LANDED HOUSE,BEKAS,84,54,SHM,3,1,2,1,ADA,1300,TIDAK,JET PUMP,NON FURNISHED,565000000
152,KABUPATEN BANDUNG,SOREANG,LANDED HOUSE,BARU,112,70,SHM,4,1,2,1,ADA,4400,TIDAK,PDAM,NON FURNISHED,700000000
153,KOTA TANGERANG,TANGERANG,LANDED HOUSE,BARU,32,41,PPJB,5,2,2,2,ADA,2200,TIDAK,PDAM,FURNISHED,820000000
154,KOTA BEKASI,BEKASI TIMUR,LANDED HOUSE,BEKAS,77,154,SHM,4,2,3,2,ADA,1300,TIDAK,PDAM,NON FURNISHED,650000000
155,KOTA BEKASI,MUSTIKA JAYA,LANDED HOUSE,BEKAS,97,55,HGB,3,2,2,1,ADA,1300,TIDAK,SUMUR BOR,NON FURNISHED,700000000
